,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,,
,,,,,,,,,,1,,5,,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ａ　人口・世帯    A. Population and Households,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,
,,,,,,,,市区町村,Municipalities,総人口,日本人人口,外国人人口,住民基本台帳人口（総数）,"15歳未満人口","15～64歳人口","65歳以上人口","人口集中地区人口",出生数,死亡数,"転入者数","転出数",昼間人口,総世帯数,一般世帯数,"核家族世帯数",単独世帯数,"65歳以上の世帯員のいる核家族世帯",夫65歳以上、妻60歳以上の夫婦のみの世帯数,65歳以上世帯員の単独世帯数,婚姻件数,離婚件数,"市区町村ｺｰﾄﾞ",
,,,,,,,,,,Total population (Both sexes),Japanese population (Both sexes),Foreigners (Total),Basic resident register population (Total),Total population (under 15),Total population (15-64),Total population (65 and over),Densely inhabited districts population,Number of live births,Number of deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,Number of nuclear families with household members 65 years of age and over,Number of households consisting only of married couples with a husband 65 years old and over and a wife 60 years old and over,Number of single-person households with members aged 65 years old and over,Marriages,Divorces,,
,,,,,,,,,,A1101,A1102,A1700,A2301,A1301,A1302,A1303,A1801,A4101,A4200,A5103,A5104,A6107,A7101,A710101,A810102,A810105,A811102,A8201,A8301,A9101,A9201,,
,,,,,,,,,,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,世帯:households,世帯:households,世帯:households,世帯:households,世帯:households,世帯:households,世帯:households,組:pairs,組:pairs,,
,,,,,,,,,,2020,2020,2020,2023,2020,2020,2020,2020,2022,2022,2023,2023,2020,2020,2020,2020,2020,2020,2020,2020,2022,2022,,
301  ,01000       ,A           ,  ,,1,,01   ,北海道　　　,Hokkaido,"5,224,614","5,151,366","34,321","5,093,983","555,804","2,945,727","1,664,023","3,973,007","26,407","74,437","230,989","236,227","5,223,042","2,476,846","2,469,063","1,324,406","999,825","588,521","345,741","361,735","18,665","8,398",01   ,
301  ,01100       ,A           ,  ,,2,,01100,札幌市　　　　,Sapporo-shi,"1,973,395","1,933,094","12,634","1,956,928","215,366","1,185,724","541,242","1,916,037","11,172","23,561","115,070","106,137","1,974,164","969,161","967,372","496,691","422,160","195,527","110,890","121,789","8,292","3,455",01100,
301  ,01101       ,A           ,  ,,3,,01101,  中央区　　　　,  Chuo-ku,"248,680","238,156","2,413","245,023","23,868","157,719","57,544","246,573","1,447","2,622","20,291","18,290","396,646","141,429","141,223","54,941","80,425","18,739","11,059","16,447","1,388",454,01101,
301  ,01102       ,A           ,  ,,4,,01102,  北区　　　　　,  Kita-ku,"289,323","282,182","2,770","284,605","33,524","174,146","77,275","280,178","1,555","3,300","14,524","14,154","275,317","139,675","139,449","71,323","60,279","28,117","15,765","16,690",996,464,01102,
